date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA
1/29/2011,11101,Saturday,1,1,2011,d_1,,,,,0
1/30/2011,11101,Sunday,2,1,2011,d_2,,,,,0
1/31/2011,11101,Monday,3,1,2011,d_3,,,,,0
2/1/2011,11101,Tuesday,4,2,2011,d_4,,,,,1
2/2/2011,11101,Wednesday,5,2,2011,d_5,,,,,1
2/3/2011,11101,Thursday,6,2,2011,d_6,,,,,1
2/4/2011,11101,Friday,7,2,2011,d_7,,,,,1
2/5/2011,11102,Saturday,1,2,2011,d_8,,,,,1
2/6/2011,11102,Sunday,2,2,2011,d_9,SuperBowl,Sporting,,,1
2/7/2011,11102,Monday,3,2,2011,d_10,,,,,1
2/8/2011,11102,Tuesday,4,2,2011,d_11,,,,,1
2/9/2011,11102,Wednesday,5,2,2011,d_12,,,,,1
2/10/2011,11102,Thursday,6,2,2011,d_13,,,,,1
2/11/2011,11102,Friday,7,2,2011,d_14,,,,,0
2/12/2011,11103,Saturday,1,2,2011,d_15,,,,,0
2/13/2011,11103,Sunday,2,2,2011,d_16,,,,,0
2/14/2011,11103,Monday,3,2,2011,d_17,ValentinesDay,Cultural,,,0
2/15/2011,11103,Tuesday,4,2,2011,d_18,,,,,0
2/16/2011,11103,Wednesday,5,2,2011,d_19,,,,,0
2/17/2011,11103,Thursday,6,2,2011,d_20,,,,,0
2/18/2011,11103,Friday,7,2,2011,d_21,,,,,0
2/19/2011,11104,Saturday,1,2,2011,d_22,,,,,0
2/20/2011,11104,Sunday,2,2,2011,d_23,,,,,0
2/21/2011,11104,Monday,3,2,2011,d_24,PresidentsDay,National,,,0
2/22/2011,11104,Tuesday,4,2,2011,d_25,,,,,0
2/23/2011,11104,Wednesday,5,2,2011,d_26,,,,,0
2/24/2011,11104,Thursday,6,2,2011,d_27,,,,,0
2/25/2011,11104,Friday,7,2,2011,d_28,,,,,0
2/26/2011,11105,Saturday,1,2,2011,d_29,,,,,0
2/27/2011,11105,Sunday,2,2,2011,d_30,,,,,0
2/28/2011,11105,Monday,3,2,2011,d_31,,,,,0
3/1/2011,11105,Tuesday,4,3,2011,d_32,,,,,1
3/2/2011,11105,Wednesday,5,3,2011,d_33,,,,,1
3/3/2011,11105,Thursday,6,3,2011,d_34,,,,,1
3/4/2011,11105,Friday,7,3,2011,d_35,,,,,1
3/5/2011,11106,Saturday,1,3,2011,d_36,,,,,1
3/6/2011,11106,Sunday,2,3,2011,d_37,,,,,1
3/7/2011,11106,Monday,3,3,2011,d_38,,,,,1
3/8/2011,11106,Tuesday,4,3,2011,d_39,,,,,1
3/9/2011,11106,Wednesday,5,3,2011,d_40,LentStart,Religious,,,1
3/10/2011,11106,Thursday,6,3,2011,d_41,,,,,1
3/11/2011,11106,Friday,7,3,2011,d_42,,,,,0
3/12/2011,11107,Saturday,1,3,2011,d_43,,,,,0
3/13/2011,11107,Sunday,2,3,2011,d_44,,,,,0
3/14/2011,11107,Monday,3,3,2011,d_45,,,,,0
3/15/2011,11107,Tuesday,4,3,2011,d_46,,,,,0
3/16/2011,11107,Wednesday,5,3,2011,d_47,LentWeek2,Religious,,,0
3/17/2011,11107,Thursday,6,3,2011,d_48,StPatricksDay,Cultural,,,0
3/18/2011,11107,Friday,7,3,2011,d_49,,,,,0
3/19/2011,11108,Saturday,1,3,2011,d_50,,,,,0
3/20/2011,11108,Sunday,2,3,2011,d_51,Purim End,Religious,,,0
3/21/2011,11108,Monday,3,3,2011,d_52,,,,,0
3/22/2011,11108,Tuesday,4,3,2011,d_53,,,,,0
3/23/2011,11108,Wednesday,5,3,2011,d_54,,,,,0
3/24/2011,11108,Thursday,6,3,2011,d_55,,,,,0
3/25/2011,11108,Friday,7,3,2011,d_56,,,,,0
3/26/2011,11109,Saturday,1,3,2011,d_57,,,,,0
3/27/2011,11109,Sunday,2,3,2011,d_58,,,,,0
3/28/2011,11109,Monday,3,3,2011,d_59,,,,,0
3/29/2011,11109,Tuesday,4,3,2011,d_60,,,,,0
3/30/2011,11109,Wednesday,5,3,2011,d_61,,,,,0
3/31/2011,11109,Thursday,6,3,2011,d_62,,,,,0
4/1/2011,11109,Friday,7,4,2011,d_63,,,,,1
4/2/2011,11110,Saturday,1,4,2011,d_64,,,,,1
4/3/2011,11110,Sunday,2,4,2011,d_65,,,,,1
4/4/2011,11110,Monday,3,4,2011,d_66,,,,,1
4/5/2011,11110,Tuesday,4,4,2011,d_67,,,,,1
4/6/2011,11110,Wednesday,5,4,2011,d_68,,,,,1
